prediction;gold;sentence 
negative;positive;die leichte, lockere inszenierung sowie die natã¼rlich schlã¼pfrige (aber nicht niveaulose) thematik sorgen dafã¼r das anderthalb stunden wie im flug vergehen und man auch de ã¶fteren mal wa zu lachen hat (wobei die szene in der familie kinsey beim abendessen sitzt und kinsey detaillierte sexthemen mit frau und kindern bespricht so furchtbar ist das man unter den tisch sinken will).
negative;positive;die nachtaufnahmen sind sehr spannend, wobei e ã¼berwiegend die eigene erwartungshaltung ist, die einen im kinositz erstarren lã¤sst.
positive;negative;am ende ist er der held.
negative;negative;da gute alte spiel wa die kamera nicht zeigt, sieht/hã¶rt man auch nicht!
positive;negative;leider ist der film in seiner machart nicht besonders ã¼berzeugend.
negative;positive;wa auf der leinwand entsteht, sind traumfantasien, sind visionen und illusionen.
positive;positive;sollte man sich auf jedenfall anschauen.
positive;negative;tomb raider von roar uthaug bemã¼ht sich, au lara croft eine normale junge frau zu machen und ich mus sagen, da finde ich in einem jump-and-run-actionkracher vã¶llig blã¶dsinnig.
positive;positive;ich habe den film und kann e fã¼r mich besser beurteilen.
positive;negative;der film kommt an den 1.
negative;positive;"ich habe ""looking for eric"" gestern in der sneak gesehen und kann sagen, das die filmstarts-kritik diesen film sehr gut erfasst hat."
negative;positive;die schauspieler ã¼berzeugen vollends.
negative;negative;e gibt durchaus einige gute gag und anspielungen, aber vor allem fehlt e an spannung, die ich bei den vorgã¤ngerfilmen noch empfunden habe: nie gerã¤t die vorbereitung de raubzugs ernsthaft in gefahr, jedes problem ist schnell gelã¶st, ernsthafte antagonisten fehlen.
negative;positive;natã¼rlich wird dazu ein besonderes, filmisches einfã¼hlungsvermã¶gen vorausgesetzt.
negative;positive;"ich denke auch, das die mundpropaganda letztlich deutlich positiver ausfã¤llt, al die ""offiziellen"" kritiken e am anfang taten."
negative;positive;die 'morde' die eigentlich 'selbstmorde' sind, sind dafã¼r alles andere al einfallslose gorehappen.
positive;negative;"bei friday night light gab bei un am ende nur eine frage, war da \""basierend auf einer wahren begebenheit\"" am anfang die legitimation fã¼r einen unspektakulã¤ren film?"
negative;positive;von horrorfilmen gibt e ja ne breite palette.
negative;positive;episode 1 war klasse und episode 3 auch.
negative;negative;somit haben wir viel klischees wa in gerne action, abenteuer und romanze reinfallen.
negative;negative;"besonders gruselig waren hauptsã¤chlich nicht die ""schock""-momente, sondern die logik-lã¶cher."
negative;positive;warum wurde matt damon nicht bei der beerdigung deswegen verhaftet?!
negative;positive;insgesamt bin ich, auch wenn e sich vielleicht nicht so anhã¶rte, mehr al zufrieden mit dem ergebnis.
negative;positive;so machen die beiden sich auf in den hohen norden und e wird alle anderes al erwartet.
negative;positive;die schauspieler sind ã¼berzeugend in ihrer rolle, etwas, wa bei so einem film unbedingt dazu gehã¶rt und wichtig ist.
positive;negative;bekannte darsteller in einer gangsterkomã¶doe wo da gewisse etwas fehlt.
negative;positive;"wer ã¼brigens angst hat, mit der darstellung von massenmorden wie in ""blood diamond"" gequã¤lt zu werden, sei hiermit beruhigt."
negative;positive;ein vater der absolut bemã¼ht ist wie ein lã¶we fã¼r seine kinder zu kã¤mpfen, und e wird hart, denn dad hat nichts mehr wa er verkaufen kann.
positive;positive;natã¼rlich wird die afrikanische kultur mit in dem film eingewoben.
negative;negative;blã¶d, wie ich finde, ist e dann auch noch, wenn herr mann diesen filmstil noch mit hochglanz-aufnahmen vermischt, welche atmosphã¤rischer nicht sein kã¶nnten.
negative;positive;die darstellung der bilder sind ebenfalls eine klasse fã¼r sich.
positive;positive;normalerweise lã¤sst mich sowas kalt, aber bei den film nicht.
positive;positive;"ein sehr guter film, der einfach die wirkliche realitã¤t im grã¶ssten camorra- viertel von neapel zeigt; dort herrscht der hã¶chste drogenkonsum weltweit, alle drogenabhã¤ngigen au der region kommen dort mit dem bus hin!"
negative;positive;und auch hier hat e groãÿe schwankungen gegeben.
positive;positive;einzig da ende hat mir nicht ganz zugesagt.
positive;positive;"gleich vorweg : michael bay sagte mir nix- ""the rock"" (renten-solidaritã¤ts-zuschlag fã¼r mr.connery ansonsten dumpfer kommando-soldaten schwachsinn) und ""armageddon"" (vã¶llig ã¼berzogene, unrealistische asteroiden-heldensaga)hingegen schon."
positive;positive;groãÿe verschnaufpausen lã¤sst man einem nicht, da die spannung vom bã¶sen anfang bi zum bitterbã¶sen schluss extrem hoch gehalten wird.
positive;positive;sicher sind tim burton filme nicht jedermanns fall, aber mir hat dark shadow sehr gut gefallen.
negative;positive;doch mit der braut - genial.
negative;positive;klingt kompliziert, so ist e eben in manchen szenen.
negative;positive;allgemein wurde die brã¼ckenfunktion zwischen teil 1 und 3 vorbildlich bewã¤ltigt.
negative;positive;ich mus zugeben, das ich so ein bisschen wa in die richtung geahnt habe, aber bi der groschen richtig fiel, dauerte e ein weilchen.
negative;positive;auch die besetzung mit jake gyllenhall ist meiner meinung anch sehr passend.
positive;negative;davon gibt e im ganzen film jedoch nur zwei und reichen somit bei weitem nicht um da ruder herumzureiãÿen um mehrere wow- momente zu erzeugen.
negative;positive;und tilda swinton â€“ nach â€žonly lover left aliveâ€œ - â€žwie bist du alt geworden, tilda?
positive;positive;allein die klaustrophobie in so einem hã¶hlensystem wird gut rã¼bergebracht.
negative;positive;!es wahr einfach toll!!!!
positive;negative;kann man sich anschauen, mus man aber nicht.
negative;positive;oder die zwischensequenzen wã¤hrend de okklumentikunterrichts bei snape.
negative;positive;ich frag mich wa die ganzen kritiker geritten hat so mies zu werten.
negative;positive;ich find ihr einfach hammer.
negative;positive;stilbruch in dem der den journalisten robert graysmith al identifikationsfigur prã¤sentiert.
positive;positive;the driver ist ein sehr guter film, denn die schauspieler sind sorgfã¤ltig ausgewã¤hlt worden.
positive;positive;auch an kamerafuehrung und ton ist absolut nichts auszusetzen.
negative;negative;z.b.: der kleine heinrich, (der name ist schon irgendwie ein vorurteil) der mit hitlergruss durch die gegend maschiert.
positive;positive;der film is einfach nur hammer!
positive;positive;der ausraster von mazursky ist verbal komisch, in englisch wie deutsch, ob da vor dem hintergrund der vertanen chance, seinen bruder wieder zu bekommen, nun komisch ist oder nicht!
negative;positive;und wa die legendã¤re schiesserei angeht, mus ich sagen, das ich wohl noch nie etwas besser inszeniertes gesehen habe!
positive;positive;gary king lebt in der vergangenheit, er kann nicht loslassen.
negative;positive;e ist ein reiner unterhaltungs film fã¼r nicht mal ganze 90 minuten.
negative;negative;allerdings hatte er noch nie alles gemacht, bislang war er nur fã¼r die schã¶nen baiser hauben-kameratechnik verantwortlich, doch hier wollen wir mal sein kã¶nnen al bã¤cker/regisseur versuchen.
negative;positive;eimfach nur genial und mitreiãÿend.
negative;negative;"seit ""shaun of the dead"" erlebt england ja auch so etwas wie einen kleinen horror-boom."
negative;negative;die eigtnlich interessante geschichte wurde durch einen action-overkill regelrecht versaut.
positive;negative;"wer sich noch nie richtig fã¼r gute dialoge, zwischenmenschliche beziehungen, charaktertiefe und schauspielerische leistungen in einem kriegsfilm interessiert hat, und beim ""der soldat james ryan"" nur die ersten 20 minuten gut fand, der wird den film sicherlich gut finden."
negative;positive;disney legt nach.
negative;positive;e ist unglaublich, wie viel witz, charme und action da kleine irland aufbringen kann!
positive;positive;da alles ist mehr oder weniger mundgerechte portionsware au den comics, auch fã¼r nichtkenner verstã¤ndlich vorbereitet und ein wenig spannungsarm.
negative;positive;im gegenteil.
positive;positive;elementarteilchen ist in einer reihe zu nennen mit so genialen neuen deutschen filmen wie herr lehmann oder 23. ok, der film sollte wohl unter fsk-16 laufen.
positive;negative;der einzige wo man nicht kotzen mus oder einschlã„ft.
negative;positive;so sehen gelungene neue folgen einer serie aus, behutsam die figuren weiterentwickeln, eine gute und passende story und neue twist und figuren fã¼r weitere folgen einfã¼hren - die e hoffentlich geben wird, mit alicia vikander natã¼rlich.
negative;positive;"und e sollten immer alle daran denken: ""wir sind alle steaks!!!"""
negative;positive;dankeschã¶n.
negative;positive;nur die figur drax hã¤tte nicht so platt sein dã¼rfen.
negative;positive;die sind fã¼r mich die grundvoraussetzung in einem guten comic.
positive;negative;wie nicht anders zu erwarten ist der erste teil mit abstand der beste!
positive;negative;der film ist ein in sich geschlossenes produkt und darf keine weiteren vorraussetzungen vom zuschauer erwarten.
positive;positive;der film hã¤lt sich sehr an sein original und ã¼berrascht zudem mit einigen sehr guten schock-momenten.
positive;positive;und da wã¼nscht man sich solche filme heutzutage wieder, auch wenn man hitchcockâ€™s traum von einem telefonzellensetting in â€žnicht auflegenâ€œ vor einigen jahren wiederfinden konnte.
positive;positive;damit wurde aber nur gut ausgedrã¼ckt wie schnell menschen jeden schlags von sowas mitgerissen werden.
positive;negative;teil ganz ok.
negative;positive;kitano spielt seine yakuza-rolle perfekt.
negative;positive;die story ist echt spannend geworden dank de drehbuches.
negative;positive;die schauspieler warn gut, die handlung super (finger in die wunde), und die special effect wirkten nicht aufgesetzt wie in so manch andren filmen.
negative;positive;oder weil viele familein in hirushima behinderte kinder haben , und alles nur weil sich amerika al weltpolizei aufspielt ..
positive;positive;der film verliert niemals den respekt vor den gezeigten personen und verzichtet darauf, seine protagonisten zu bewerten.
positive;positive;"fazit: ""sweeney todd"" ist ein film, ganz weit weg vom mainstream und sehr unkonventionell."
positive;positive;doch wenn man den film sieht ist man oftmals richtig begeistert.
positive;positive;die musik ist wie immer bei einem star war film mega gut, mir fehlte aber offen gesagt diese haupt musik von star wars.
negative;positive;folglich inszeniert bigelow nicht wie ein activision-entwickler und schreibt boal nicht wie trivialliterat dan brown.
positive;positive;reynolds variante mangelt e dennoch nicht an eigenstã¤ndigkeit, anstatt gewollter liebesgeschichten steht hier die unsichere lage in der rã¶mischen provinz im vordergrund.
positive;positive;ich empfehle jeden diesen film: e ist ein wichtiger teil in der geschichte de dritten reich (neben den ganzen verbrechen, die begangen wurden), die ebenfalls jeder kennen sollte.
negative;positive;ã„hnlich genial wie der vorgã¤nger.
negative;positive;dennoch: mehr davon!
positive;positive;er trifft auf die junge yuri, welche mit ihrem ehemann abseits de dorfes an einem flu wohnt, und erkennt in dem ehemann seinen verschwundenen freund.
positive;positive;und erfã¤hrt am eigen leib wie e ist ein bã¤r zu sein .doch dann trifft kenai auf da kleine knuffige bã¤rchen koda der seine verlorene mutter sucht.
negative;positive;die ca.
positive;positive;bi fragen wie â€žwoher kommt ihr?â€œ und â€žwas wollt ihr hier?â€œ an die siebenfã¼ãÿer gebracht werden kã¶nnen und dr. bank in den gebrauch eines gewissen geschenks kommen kann, vergeht viel zeit, aber bei villeneuve - wie gewohnt - ohne langeweile.
negative;positive;die idee war innovativ und wurde genial umgesetzt.
negative;positive;der film hat ein tpyisches episodenfilm-konzept (das dem von magnolia verdmmt ã¤hnelt), ein eher ruhiges filmtempo und viele klischeebeladene charaktere.
positive;negative;der letzte punkt ist aber auch noch der, das ich hier kaum filmmusik erkennen konnte die einen tragenden epischen effekt im hinblick auf da visuelle geschehen beitragen konnte.
positive;positive;der film ist zum teil ein klassischer road movie.
positive;negative;man erwartet mehr doch da kommt nichts.
negative;positive;sonst wã¤re e doch irgendwie witzlos, oder?
